complaint_id,received_date,right_id,mun_id,area_id,status,description
1,2025-04-15,7,5,5,CERRADO,Negro siguientes ciudad relación psoe estaban temas película fecha.
2,2021-04-28,3,4,4,EN PROCESO,Y hablar resto paso dicho existen u estoy llama cabo pablo mantener casi.
3,2023-06-30,3,5,4,EN PROCESO,Cuarto octubre i casa título rey van mar uso palabra estos.
4,2023-05-23,1,3,1,EN PROCESO,Única adelante diez sabía actitud madre cuarto.
5,2022-06-14,6,5,5,ABIERTO,Fácil tierra revolución supuesto partidos estados instituciones toma él segunda cosas pues asimismo.
6,2022-10-04,2,3,5,EN PROCESO,Libre llevar primero energía electoral sola universidad encuentran televisión compañía.
7,2021-05-20,7,6,4,ABIERTO,Ya políticos profesional llegado casos mitad ante personas.
8,2021-07-09,1,4,1,ABIERTO,Congreso encima libro voy del cómo.
9,2020-12-25,7,2,2,CERRADO,Equipo derechos nivel m él claro gonzález vamos eso.
10,2025-02-01,5,4,5,EN PROCESO,Aquellos principios horas humano idea joven calle los sino.
11,2023-03-19,5,4,5,ABIERTO,Carta paz jefe finalmente todos parecía en plan allá están esfuerzo flores queda.
12,2025-02-26,1,4,4,EN PROCESO,Iba diferentes luego día ir dos riesgo nada c esta palabra temas horas.
13,2024-01-28,4,6,4,EN PROCESO,Particular duda constitución perdido calle militar informe arriba último presidente s espera último.
14,2022-03-10,2,4,2,CERRADO,Alrededor será público san pública sueño puso importancia carta una mantener viejo.
15,2023-03-02,7,2,3,EN PROCESO,S finalmente consumo objetivo según obra ocasiones muy nuestros.
16,2022-12-27,5,1,5,ABIERTO,Puntos bastante tierra actividades humana enero falta.
17,2020-10-16,1,2,2,EN PROCESO,Abril serán perdido izquierda se sola llega solo falta ahí ningún.
18,2023-04-15,5,3,5,ABIERTO,Dado miembros congreso seguridad riesgo cierta cama victoria cualquier.
19,2023-11-24,5,5,5,CERRADO,Formación realizar cultura destino luis serie noviembre rafael temas.
