loan_id,customer_id,amount,interest_rate,term_months,start_date,status
1,571,195196.3,12.43,36,2026-01-09,VIGENTE
2,198,192987.7,44.36,18,2024-07-04,VIGENTE
3,186,198869.78,31.07,18,2023-10-16,MOROSO
4,287,181474.73,38.09,6,2021-12-31,VIGENTE
5,124,24197.26,16.14,24,2025-06-05,VIGENTE
6,74,130904.73,40.28,24,2026-01-09,VIGENTE
7,268,72329.51,38.12,60,2025-06-21,VIGENTE
8,373,6130.36,28.39,48,2021-09-22,VIGENTE
9,881,21024.6,32.08,36,2022-05-05,MOROSO
10,303,3260.52,25.76,12,2024-12-28,CANCELADO
11,311,132157.1,9.63,36,2022-07-30,CANCELADO
12,405,149599.23,30.18,18,2022-01-31,VIGENTE
13,490,157433.71,9.84,48,2024-09-22,VIGENTE
14,799,183429.01,22.62,18,2021-10-08,MOROSO
15,279,55648.62,42.69,6,2023-01-20,VIGENTE
16,514,58529.51,15.56,60,2025-11-30,CANCELADO
17,996,117926.11,33.25,6,2025-09-30,VIGENTE
18,626,40069.81,17.25,60,2025-08-30,CANCELADO
19,140,54899.84,25.76,48,2022-02-16,MOROSO
20,326,10066.58,34.03,24,2025-11-23,VIGENTE
21,600,152343.41,42.98,6,2025-10-10,MOROSO
22,716,6349.99,16.89,60,2021-09-04,MOROSO
23,876,158768.42,14.91,48,2025-03-03,VIGENTE
24,789,164059.15,36.4,36,2023-03-31,VIGENTE
25,630,122182.47,27.55,36,2025-10-31,VIGENTE
26,394,122565.48,27.82,36,2025-07-04,VIGENTE
27,223,26031.92,31.04,36,2025-07-29,VIGENTE
28,981,183004.27,32.54,36,2023-04-08,VIGENTE
29,459,186004.35,39.91,6,2024-08-12,CANCELADO
30,744,8491.99,34.46,12,2022-10-14,CANCELADO
31,271,90372.69,20.24,60,2025-04-06,VIGENTE
32,449,181417.02,13.04,24,2022-07-28,VIGENTE
33,413,154885.83,32.91,36,2022-02-02,CANCELADO
34,145,167886.2,22.52,12,2023-08-25,CANCELADO
35,301,68219.06,33.95,48,2025-11-17,VIGENTE
36,839,60065.94,43.0,18,2022-11-22,VIGENTE
37,898,181318.19,30.94,36,2024-10-08,VIGENTE
38,109,193866.23,14.65,12,2023-09-11,VIGENTE
39,188,163208.69,20.41,18,2023-09-20,VIGENTE
40,727,12915.46,17.61,60,2024-01-13,VIGENTE
41,326,173362.58,13.99,24,2024-02-15,CANCELADO
42,140,112048.83,23.19,6,2025-07-08,VIGENTE
43,476,29451.84,19.41,18,2023-12-30,CANCELADO
44,419,35711.66,43.37,12,2023-10-09,VIGENTE
45,484,105011.01,38.84,18,2024-10-08,VIGENTE
46,196,54979.42,27.6,48,2023-04-22,CANCELADO
47,818,187803.62,36.93,6,2022-08-09,VIGENTE
48,480,55032.52,18.35,60,2025-07-15,VIGENTE
49,650,186492.91,12.17,36,2024-04-29,VIGENTE
50,888,164486.87,14.95,60,2023-10-22,MOROSO
51,350,192297.98,25.43,48,2024-02-29,VIGENTE
52,482,16138.24,33.22,18,2022-01-08,VIGENTE
53,211,84389.55,12.61,24,2021-08-19,VIGENTE
54,945,74676.99,33.07,36,2022-08-21,CANCELADO
55,205,67188.59,13.29,24,2022-07-14,VIGENTE
56,718,40049.12,17.72,24,2024-09-17,VIGENTE
57,799,35711.46,33.1,18,2023-12-07,VIGENTE
58,831,63904.19,31.16,60,2021-09-25,VIGENTE
59,230,50932.85,14.27,36,2022-07-20,VIGENTE
60,532,51671.28,42.53,6,2024-08-07,VIGENTE
61,575,137674.39,29.06,60,2022-06-28,VIGENTE
62,146,50585.96,38.78,18,2023-11-21,VIGENTE
63,563,91344.15,14.16,60,2021-04-09,VIGENTE
64,429,174730.43,11.64,36,2024-10-22,VIGENTE
65,766,194452.73,27.58,12,2022-12-09,CANCELADO
66,761,97889.94,11.67,60,2021-10-03,CANCELADO
67,160,33851.94,14.97,12,2023-04-17,VIGENTE
68,804,97735.5,12.11,36,2025-06-06,VIGENTE
69,671,127995.9,21.61,18,2021-11-16,VIGENTE
70,616,110339.67,18.98,48,2022-12-07,CANCELADO
71,294,33846.64,42.04,18,2023-12-05,VIGENTE
72,861,192587.6,20.94,6,2022-02-06,VIGENTE
73,694,110280.04,23.58,48,2022-08-20,VIGENTE
74,503,69546.51,8.41,12,2023-03-04,VIGENTE
75,932,71943.31,10.72,36,2024-05-17,MOROSO
76,363,16076.6,34.19,48,2021-05-02,CANCELADO
77,717,199099.28,20.48,18,2025-02-26,VIGENTE
78,868,124780.83,34.1,12,2023-03-24,MOROSO
79,970,4071.64,43.27,36,2023-11-12,VIGENTE
80,235,101272.73,10.95,12,2025-05-18,VIGENTE
81,728,77732.66,22.52,6,2023-07-10,MOROSO
82,753,83736.16,20.29,12,2023-04-06,VIGENTE
